==================================================
POSTING MIN: 36 Bytes
POSTING MAX: 5488 Bytes
POSTING AVG: 664 Bytes
CANT. FILES: 31
SIZE FILES:  20604 Bytes
OVERHEAD:    49487 Bytes
==================================================
ID DOC|OVERHEAD
--------------------------------------------------
1     |0.4309
2     |0.4839
3     |0.5450
4     |0.4700
5     |0.4045
6     |0.3978
7     |0.3672
8     |0.3985
9     |0.4410
10    |0.3798
11    |0.4383
12    |0.2962
13    |0.3845
14    |0.3145
15    |0.4366
16    |0.3768
17    |0.3252
18    |0.2250
19    |0.3134
20    |0.2173
21    |0.3725
22    |0.3090
23    |0.3966
24    |0.3710
25    |0.3105
26    |0.3620
27    |0.3662
28    |0.2878
29    |0.1966
30    |0.2425
31    |0.2240
