==================================================
POSTING MIN: 4 Bytes
POSTING MAX: 20188 Bytes
POSTING AVG: 890 Bytes
CANT. FILES: 527
SIZE FILES:  469036 Bytes
OVERHEAD:    785708 Bytes
==================================================
ID DOC|OVERHEAD
--------------------------------------------------
1     |0.4309
2     |0.4839
3     |0.5450
4     |0.4700
5     |0.4045
6     |0.3978
7     |0.3672
8     |0.3985
9     |0.4410
10    |0.3798
11    |0.4383
12    |0.4521
13    |0.4397
14    |0.4225
15    |0.4099
16    |0.2818
17    |0.3551
18    |0.3042
19    |0.4366
20    |0.3611
21    |0.3252
22    |0.2250
23    |0.3134
24    |0.2150
25    |0.3613
26    |0.3090
27    |0.3714
28    |0.3530
29    |0.3014
30    |0.3620
31    |0.3662
32    |0.2878
33    |0.1944
34    |0.2382
35    |0.2240
36    |0.3246
37    |0.2815
38    |0.3084
39    |0.4504
40    |0.5839
41    |0.3759
42    |0.2562
43    |0.3338
44    |0.1827
45    |0.3357
46    |0.3298
47    |0.3119
48    |0.3564
49    |0.2843
50    |0.3385
51    |0.4460
52    |0.2939
53    |0.1463
54    |0.1496
55    |0.1168
56    |0.2632
57    |0.3074
58    |0.3826
59    |0.4219
60    |0.2347
61    |0.3515
62    |0.5098
63    |0.4842
64    |0.2554
65    |0.2405
66    |0.1337
67    |0.3409
68    |0.3742
69    |0.2549
70    |0.1794
71    |0.2986
72    |0.2442
73    |0.2378
74    |0.2267
75    |0.2385
76    |0.4620
77    |0.4090
78    |0.4735
79    |0.4256
80    |0.3404
81    |0.4254
82    |0.3870
83    |0.2820
84    |0.3131
85    |0.2690
86    |0.2797
87    |0.2874
88    |0.1332
89    |0.2484
90    |0.2008
91    |0.2227
92    |0.2238
93    |0.3256
94    |0.2962
95    |0.1502
96    |0.3131
97    |0.1347
98    |0.1366
99    |0.2776
100   |0.2260
101   |0.2795
102   |0.2300
103   |0.2614
104   |0.1325
105   |0.2510
106   |0.1938
107   |0.1356
108   |0.2672
109   |0.2314
110   |0.2479
111   |0.2340
112   |0.0628
113   |0.4800
114   |0.2033
115   |0.1272
116   |0.1281
117   |0.2025
118   |0.3117
119   |0.2172
120   |0.2429
121   |0.2053
122   |0.2085
123   |0.1983
124   |0.2064
125   |0.1249
126   |0.1135
127   |0.2627
128   |0.1481
129   |0.3351
130   |0.1156
131   |0.3326
132   |0.2983
133   |0.2535
134   |0.2328
135   |0.1382
136   |0.2535
137   |0.2535
138   |0.2535
139   |0.2535
140   |0.2317
141   |0.2485
142   |0.2491
143   |0.2313
144   |0.2459
145   |0.4790
146   |0.3263
147   |0.1238
148   |0.4719
149   |0.2722
150   |0.2771
151   |0.0948
152   |0.2115
153   |0.3180
154   |0.2542
155   |0.2333
156   |0.2651
157   |0.3244
158   |0.3326
159   |0.3238
160   |0.2776
161   |0.3589
162   |0.1573
163   |0.1225
164   |0.3389
165   |0.0592
166   |0.2375
167   |0.4043
168   |0.2798
169   |0.1566
170   |0.1045
171   |0.3084
172   |0.4673
173   |0.3351
174   |0.3960
175   |0.3469
176   |0.2324
177   |0.2370
178   |0.1733
179   |0.2497
180   |0.1884
181   |0.1430
182   |0.2431
183   |0.1770
184   |0.0915
185   |0.1459
186   |0.0995
187   |0.3254
188   |0.1522
189   |0.2533
190   |0.1662
191   |0.5207
192   |0.1621
193   |0.2758
194   |0.3564
195   |0.1432
196   |0.0830
197   |0.2192
198   |0.1344
199   |0.1696
200   |0.1104
201   |0.3110
202   |0.2601
203   |0.4545
204   |0.3349
205   |0.2388
206   |0.0183
207   |0.2495
208   |0.2848
209   |0.3128
210   |0.3670
211   |0.3206
212   |0.2911
213   |0.2670
214   |0.3265
215   |0.2269
216   |0.1204
217   |0.2083
218   |0.4080
219   |0.1260
220   |0.1691
221   |0.2634
222   |0.2862
223   |0.1192
224   |0.3525
225   |0.1109
226   |0.1877
227   |0.1996
228   |0.2331
229   |0.2007
230   |0.2133
231   |0.2133
232   |0.2133
233   |0.2000
234   |0.2581
235   |0.2581
236   |0.2581
237   |0.2581
238   |0.2581
239   |0.2581
240   |0.2581
241   |0.3453
242   |0.3388
243   |0.3070
244   |0.1576
245   |0.1841
246   |0.0296
247   |0.2300
248   |0.2237
249   |0.0834
250   |0.1549
251   |0.4310
252   |0.2713
253   |0.2607
254   |0.1657
255   |0.3468
256   |0.2495
257   |0.3322
258   |0.3456
259   |0.2676
260   |0.2590
261   |0.1655
262   |0.2768
263   |0.1194
264   |0.1453
265   |0.1063
266   |0.1717
267   |0.1246
268   |0.2333
269   |0.1864
270   |0.2060
271   |0.1317
272   |0.0723
273   |0.1741
274   |0.1374
275   |0.4291
276   |0.3323
277   |0.1451
278   |0.2586
279   |0.3230
280   |0.2416
281   |0.2220
282   |0.3139
283   |0.3082
284   |0.3252
